"Local Identifier","Title/Name","PSAP Assessment Score","Assessment Type","Location","Resource Type","Parent Resource","Format","Format Ink/Media Type","Format Support Type","Significance","Language","Rights","Description","Created","Updated","Has the disc been played back recently, or is there documentation of its playback quality?","Assess the level of palmitic acid deposits on the disc surface","If this disc is a lacquered (instantaneous) disc, what is the disc's core material?","Assess the level of dust, dirt or debris on this disc","Is this item exhibiting mold and/or pest (e.g. insect, rodent) damage?","What is the state of the disc, in terms of physical damage sustained?","Is the disc protected by an inner sleeve?","Does the container or item have any meaningful labeling?","Does this item have an appropriate container in good condition?","Is this item properly supported in storage?","Do you have appropriate playback equipment for this item?","Is this item played back or handled regularly?","Is this a unique item in terms of its content?"
"","2002.03.78.2050","38.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-30T23:39:12Z","2018-05-30T23:40:07Z","No","None","Cardboard","Slight/None","Neither","Good","Yes","Yes","No","Yes","Yes","No","Yes"
"","2002.03.78.2051","34.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-30T23:42:22Z","2018-05-30T23:43:35Z","No","None","Cardboard","Moderate","Neither","Good","Yes","Yes","No","Yes","Yes","No","Yes"
"","2002.03.78.2052","34.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-30T23:44:47Z","2018-05-30T23:45:43Z","No","None","Cardboard","Moderate","Neither","Good","Yes","Yes","No","Yes","Yes","No","Yes"
"","2002.03.78.2053","38.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-30T23:47:18Z","2018-05-30T23:48:25Z","No","None","Cardboard","Slight/None","Neither","Good","Yes","Yes","No","Yes","Yes","No","Yes"
"","2002.03.78.2054","38.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-30T23:49:00Z","2018-05-30T23:49:46Z","No","None","Cardboard","Slight/None","Neither","Good","Yes","Yes","No","Yes","Yes","No","Yes"
"","2002.03.78.2055","34.5","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-30T23:50:23Z","2018-05-30T23:52:17Z","No","None","Cardboard","Slight/None","Neither","Fair","Yes","Yes","No","Yes","Yes","No","Yes"
"","2002.03.78.2056","34.5","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-30T23:52:51Z","2018-05-30T23:53:36Z","No","None","Cardboard","Slight/None","Neither","Fair","Yes","Yes","No","Yes","Yes","No","Yes"
"","2002.03.78.2057","34.5","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-30T23:54:11Z","2018-05-30T23:54:58Z","No","None","Cardboard","Slight/None","Neither","Fair","Yes","Yes","No","Yes","Yes","No","Yes"
"","2002.03.78.2058","31.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-30T23:55:44Z","2018-05-30T23:56:50Z","No","None","Cardboard","Slight/None","Neither","Serious","Yes","Yes","No","Yes","Yes","No","Yes"
"","2002.03.78.2059","31.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-30T23:57:28Z","2018-05-30T23:58:16Z","No","None","Cardboard","Slight/None","Neither","Serious","Yes","Yes","No","Yes","Yes","No","Yes"
"","2002.03.78.2060","31.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-30T23:58:53Z","2018-05-30T23:59:35Z","No","None","Cardboard","Slight/None","Neither","Serious","Yes","Yes","No","Yes","Yes","No","Yes"
"","2002.03.78.2061","31.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-31T00:00:04Z","2018-05-31T00:00:44Z","No","None","Cardboard","Slight/None","Neither","Serious","Yes","Yes","No","Yes","Yes","No","Yes"
"","2002.03.78.2475","42.5","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T01:08:09Z","2018-05-22T01:08:41Z","No","None","Metal","Slight/None","Neither","Good","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2476","40.5","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T01:06:49Z","2018-05-22T01:07:34Z","No","Moderate","Metal","Slight/None","Neither","Good","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2477","40.5","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T01:05:34Z","2018-05-22T01:06:08Z","No","Moderate","Metal","Slight/None","Neither","Good","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2478","42.5","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T01:03:56Z","2018-05-22T01:04:37Z","No","None","Metal","Slight/None","Neither","Good","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2479","39.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T01:02:48Z","2018-05-22T01:03:22Z","No","None","Metal","Slight/None","Neither","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2480","42.5","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T01:01:49Z","2018-05-22T01:02:13Z","No","None","Metal","Slight/None","Neither","Good","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2481","42.5","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T01:00:28Z","2018-05-22T01:00:59Z","No","None","Metal","Slight/None","Neither","Good","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2482","42.5","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:59:19Z","2018-05-22T00:59:52Z","No","None","Metal","Slight/None","Neither","Good","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2483","37.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:57:44Z","2018-05-22T00:58:35Z","No","Moderate","Metal","Slight/None","Neither","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2484","37.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:56:30Z","2018-05-22T00:57:06Z","No","Moderate","Metal","Slight/None","Neither","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2485","37.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:55:08Z","2018-05-22T00:55:52Z","No","Moderate","Metal","Slight/None","Neither","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2486","33.5","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:53:36Z","2018-05-22T00:54:26Z","No","Moderate","Metal","Slight/None","Neither","Serious","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2487","33.5","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:52:22Z","2018-05-22T00:53:03Z","No","Moderate","Metal","Slight/None","Neither","Serious","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2488","37.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:51:05Z","2018-05-22T00:51:45Z","No","Moderate","Metal","Slight/None","Neither","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2489","37.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:49:48Z","2018-05-22T00:50:22Z","No","Moderate","Metal","Slight/None","Neither","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2490","37.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:48:37Z","2018-05-22T00:49:09Z","No","Moderate","Metal","Slight/None","Neither","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2491","37.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:47:20Z","2018-05-22T00:47:58Z","No","Moderate","Metal","Slight/None","Neither","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2492","39.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:46:03Z","2018-05-22T00:46:42Z","No","None","Metal","Slight/None","Neither","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2493","37.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:44:32Z","2018-05-22T00:45:27Z","No","Moderate","Metal","Slight/None","Neither","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2494","37.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:43:11Z","2018-05-22T00:43:54Z","No","Moderate","Metal","Slight/None","Neither","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2495","36.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:41:44Z","2018-05-22T00:42:32Z","No","None","Metal","Slight/None","Mold","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
